Compound,Date,Negative,Neutral,Positive,Tweet Count,User
0.0,Wed Dec 13 20:17:02 +0000 2017,0.0,1.0,0.0,82,@CNN
0.0,Wed Dec 13 20:17:01 +0000 2017,0.0,1.0,0.0,83,@CNN
0.0258,Wed Dec 13 20:17:00 +0000 2017,0.086,0.824,0.09,84,@CNN
0.0,Wed Dec 13 20:17:00 +0000 2017,0.0,1.0,0.0,85,@CNN
0.0,Wed Dec 13 20:16:58 +0000 2017,0.0,1.0,0.0,86,@CNN
0.0935,Wed Dec 13 20:16:58 +0000 2017,0.0,0.905,0.095,87,@CNN
0.0,Wed Dec 13 20:16:58 +0000 2017,0.0,1.0,0.0,88,@CNN
0.0,Wed Dec 13 20:16:57 +0000 2017,0.0,1.0,0.0,89,@CNN
0.3527,Wed Dec 13 20:16:57 +0000 2017,0.139,0.643,0.218,90,@CNN
0.0258,Wed Dec 13 20:16:57 +0000 2017,0.075,0.847,0.078,91,@CNN
-0.2755,Wed Dec 13 20:16:57 +0000 2017,0.232,0.768,0.0,92,@CNN
-0.0516,Wed Dec 13 20:16:56 +0000 2017,0.05,0.95,0.0,93,@CNN
-0.0516,Wed Dec 13 20:16:55 +0000 2017,0.05,0.95,0.0,94,@CNN
0.5423,Wed Dec 13 20:16:55 +0000 2017,0.0,0.769,0.231,95,@CNN
0.0258,Wed Dec 13 20:16:54 +0000 2017,0.086,0.824,0.09,96,@CNN
0.0,Wed Dec 13 20:16:53 +0000 2017,0.0,1.0,0.0,97,@CNN
0.0,Wed Dec 13 20:16:52 +0000 2017,0.0,1.0,0.0,98,@CNN
-0.8074,Wed Dec 13 20:16:52 +0000 2017,0.265,0.735,0.0,99,@CNN
-0.4019,Wed Dec 13 20:16:52 +0000 2017,0.144,0.769,0.087,100,@CNN
0.0,Wed Dec 13 20:16:51 +0000 2017,0.0,1.0,0.0,1,@CNN
0.0258,Wed Dec 13 20:16:51 +0000 2017,0.086,0.824,0.09,2,@CNN
-0.4019,Wed Dec 13 20:16:51 +0000 2017,0.144,0.769,0.087,3,@CNN
0.0,Wed Dec 13 20:16:50 +0000 2017,0.0,1.0,0.0,4,@CNN
-0.5983,Wed Dec 13 20:16:49 +0000 2017,0.245,0.755,0.0,5,@CNN
0.0,Wed Dec 13 20:16:49 +0000 2017,0.0,1.0,0.0,6,@CNN
0.2023,Wed Dec 13 20:16:48 +0000 2017,0.164,0.6,0.236,7,@CNN
0.0,Wed Dec 13 20:16:48 +0000 2017,0.0,1.0,0.0,8,@CNN
-0.4215,Wed Dec 13 20:16:47 +0000 2017,0.135,0.865,0.0,9,@CNN
0.3612,Wed Dec 13 20:16:46 +0000 2017,0.0,0.783,0.217,10,@CNN
0.0,Wed Dec 13 20:16:45 +0000 2017,0.0,1.0,0.0,11,@CNN
-0.4019,Wed Dec 13 20:16:45 +0000 2017,0.144,0.769,0.087,12,@CNN
0.0,Wed Dec 13 20:16:43 +0000 2017,0.0,1.0,0.0,13,@CNN
-0.91,Wed Dec 13 20:16:43 +0000 2017,0.343,0.657,0.0,14,@CNN
0.0,Wed Dec 13 20:16:42 +0000 2017,0.0,1.0,0.0,15,@CNN
0.0,Wed Dec 13 20:16:42 +0000 2017,0.0,1.0,0.0,16,@CNN
-0.7003,Wed Dec 13 20:17:36 +0000 2017,0.345,0.655,0.0,17,@foxnews
0.0,Wed Dec 13 20:17:36 +0000 2017,0.0,1.0,0.0,18,@foxnews
0.5574,Wed Dec 13 20:17:36 +0000 2017,0.0,0.723,0.277,19,@foxnews
-0.4767,Wed Dec 13 20:17:36 +0000 2017,0.171,0.829,0.0,20,@foxnews
0.3182,Wed Dec 13 20:17:35 +0000 2017,0.052,0.849,0.1,21,@foxnews
-0.8624,Wed Dec 13 20:17:35 +0000 2017,0.425,0.575,0.0,22,@foxnews
0.0,Wed Dec 13 20:17:34 +0000 2017,0.0,1.0,0.0,23,@foxnews
0.0,Wed Dec 13 20:17:34 +0000 2017,0.0,1.0,0.0,24,@foxnews
0.0,Wed Dec 13 20:17:32 +0000 2017,0.0,1.0,0.0,25,@foxnews
-0.1759,Wed Dec 13 20:17:32 +0000 2017,0.187,0.694,0.118,26,@foxnews
0.296,Wed Dec 13 20:17:32 +0000 2017,0.0,0.864,0.136,27,@foxnews
0.0,Wed Dec 13 20:17:31 +0000 2017,0.0,1.0,0.0,28,@foxnews
-0.3182,Wed Dec 13 20:17:31 +0000 2017,0.103,0.897,0.0,29,@foxnews
-0.7269,Wed Dec 13 20:17:31 +0000 2017,0.262,0.738,0.0,30,@foxnews
0.0,Wed Dec 13 20:17:31 +0000 2017,0.0,1.0,0.0,31,@foxnews
0.0,Wed Dec 13 20:17:30 +0000 2017,0.0,1.0,0.0,32,@foxnews
0.2401,Wed Dec 13 20:17:30 +0000 2017,0.0,0.719,0.281,33,@foxnews
0.2023,Wed Dec 13 20:17:29 +0000 2017,0.067,0.833,0.099,34,@foxnews
0.4939,Wed Dec 13 20:17:29 +0000 2017,0.0,0.833,0.167,35,@foxnews
0.0,Wed Dec 13 20:17:28 +0000 2017,0.0,1.0,0.0,36,@foxnews
0.4939,Wed Dec 13 20:17:28 +0000 2017,0.0,0.802,0.198,37,@foxnews
0.0,Wed Dec 13 20:17:28 +0000 2017,0.0,1.0,0.0,38,@foxnews
-0.2732,Wed Dec 13 20:17:27 +0000 2017,0.227,0.583,0.191,39,@foxnews
-0.5423,Wed Dec 13 20:17:27 +0000 2017,0.226,0.774,0.0,40,@foxnews
-0.4939,Wed Dec 13 20:17:27 +0000 2017,0.186,0.814,0.0,41,@foxnews
0.0,Wed Dec 13 20:17:27 +0000 2017,0.0,1.0,0.0,42,@foxnews
0.3182,Wed Dec 13 20:17:27 +0000 2017,0.0,0.901,0.099,43,@foxnews
-0.5367,Wed Dec 13 20:17:27 +0000 2017,0.163,0.837,0.0,44,@foxnews
-0.4404,Wed Dec 13 20:17:26 +0000 2017,0.146,0.854,0.0,45,@foxnews
0.0,Wed Dec 13 20:17:24 +0000 2017,0.0,1.0,0.0,46,@foxnews
0.5859,Wed Dec 13 20:17:23 +0000 2017,0.0,0.774,0.226,47,@foxnews
0.0,Wed Dec 13 20:17:22 +0000 2017,0.0,1.0,0.0,48,@foxnews
-0.8779,Wed Dec 13 20:17:22 +0000 2017,0.458,0.485,0.057,49,@foxnews
0.1779,Wed Dec 13 20:17:22 +0000 2017,0.0,0.825,0.175,50,@foxnews
0.6705,Wed Dec 13 20:17:20 +0000 2017,0.0,0.784,0.216,51,@foxnews
0.0,Wed Dec 13 20:17:19 +0000 2017,0.0,1.0,0.0,52,@foxnews
-0.6908,Wed Dec 13 20:17:19 +0000 2017,0.207,0.793,0.0,53,@foxnews
0.4767,Wed Dec 13 20:17:18 +0000 2017,0.0,0.744,0.256,54,@foxnews
0.0258,Wed Dec 13 20:17:17 +0000 2017,0.126,0.744,0.13,55,@foxnews
0.296,Wed Dec 13 20:17:16 +0000 2017,0.136,0.72,0.144,56,@foxnews
0.0,Wed Dec 13 20:17:15 +0000 2017,0.0,1.0,0.0,57,@foxnews
0.5106,Wed Dec 13 20:17:15 +0000 2017,0.0,0.837,0.163,58,@foxnews
0.6705,Wed Dec 13 20:17:14 +0000 2017,0.0,0.784,0.216,59,@foxnews
0.4215,Wed Dec 13 20:17:14 +0000 2017,0.0,0.588,0.412,60,@foxnews
-0.3818,Wed Dec 13 20:17:14 +0000 2017,0.184,0.816,0.0,61,@foxnews
-0.6705,Wed Dec 13 20:17:14 +0000 2017,0.453,0.373,0.174,62,@foxnews
0.4939,Wed Dec 13 20:17:13 +0000 2017,0.0,0.833,0.167,63,@foxnews
0.0,Wed Dec 13 20:17:13 +0000 2017,0.0,1.0,0.0,64,@foxnews
0.0,Wed Dec 13 20:17:12 +0000 2017,0.0,1.0,0.0,65,@foxnews
0.0,Wed Dec 13 20:17:11 +0000 2017,0.0,1.0,0.0,66,@foxnews
0.5684,Wed Dec 13 20:17:11 +0000 2017,0.0,0.656,0.344,67,@foxnews
0.0,Wed Dec 13 20:17:09 +0000 2017,0.0,1.0,0.0,68,@foxnews
0.5574,Wed Dec 13 20:17:09 +0000 2017,0.0,0.581,0.419,69,@foxnews
0.5719,Wed Dec 13 20:17:08 +0000 2017,0.0,0.861,0.139,70,@foxnews
-0.2023,Wed Dec 13 20:17:08 +0000 2017,0.114,0.815,0.071,71,@foxnews
0.0,Wed Dec 13 20:17:07 +0000 2017,0.0,1.0,0.0,72,@foxnews
0.5859,Wed Dec 13 20:17:07 +0000 2017,0.0,0.774,0.226,73,@foxnews
0.2732,Wed Dec 13 20:17:07 +0000 2017,0.117,0.717,0.166,74,@foxnews
-0.3182,Wed Dec 13 20:17:06 +0000 2017,0.103,0.897,0.0,75,@foxnews
-0.628,Wed Dec 13 20:17:06 +0000 2017,0.314,0.686,0.0,76,@foxnews
0.5859,Wed Dec 13 20:17:06 +0000 2017,0.0,0.774,0.226,77,@foxnews
0.4574,Wed Dec 13 20:17:06 +0000 2017,0.0,0.501,0.499,78,@foxnews
-0.9118,Wed Dec 13 20:17:06 +0000 2017,0.478,0.446,0.076,79,@foxnews
-0.3182,Wed Dec 13 20:17:06 +0000 2017,0.103,0.897,0.0,80,@foxnews
-0.5256,Wed Dec 13 20:17:05 +0000 2017,0.361,0.639,0.0,81,@foxnews
-0.3612,Wed Dec 13 20:17:05 +0000 2017,0.128,0.872,0.0,82,@foxnews
0.0,Wed Dec 13 20:17:05 +0000 2017,0.0,1.0,0.0,83,@foxnews
